idx,text,matched_place,confidence,center_x,center_y,width,height,norm_center_x,norm_center_y,polygon_xy
1,JCC 서울마라톤42.195km풀코스,서울,0.6598795935535177,251.0,47.0,448.0,44.0,0.44821428571428573,0.11244019138755981,"[[27.0, 25.0], [475.0, 25.0], [475.0, 69.0], [27.0, 69.0]]"
6,광화문,광화문,0.9994404007157865,220.0,219.0,46.0,20.0,0.39285714285714285,0.5239234449760766,"[[197.0, 209.0], [243.0, 209.0], [243.0, 229.0], [197.0, 229.0]]"
16,'여의도공원,여의도,0.7384812891880205,135.0,324.0,74.0,24.0,0.24107142857142858,0.7751196172248804,"[[98.0, 312.0], [172.0, 312.0], [172.0, 336.0], [98.0, 336.0]]"
