idx,text,matched_place,confidence,center_x,center_y,width,height,norm_center_x,norm_center_y,polygon_xy
19,국회의사당,국회의사당,0.944982668721745,516.0,410.0,62.0,18.0,0.3693629205440229,0.39805825242718446,"[[485.0, 401.0], [547.0, 401.0], [547.0, 419.0], [485.0, 419.0]]"
51,국회의사당역,국회의사당역,0.9954005997036263,700.0,639.0,74.0,16.0,0.5010737294201861,0.6203883495145631,"[[663.0, 631.0], [737.0, 631.0], [737.0, 647.0], [663.0, 647.0]]"
110,여의도공원 문화의마당,여의도공원 문화의마당,0.6489285425375076,859.0,940.0,154.0,24.0,0.6148890479599141,0.912621359223301,"[[782.0, 928.0], [936.0, 928.0], [936.0, 952.0], [782.0, 952.0]]"
